TransactionID,ProductCategory,ProductID,QuantitySold,RevenueGenerated,TransactionTimestamp
1,Clothing,3003,9,8990.72,2023-08-21 06:35:00
2,Books,5005,4,479.28,2023-09-10 10:27:00
3,Clothing,3001,2,684.9,2023-07-21 21:57:00
4,Furniture,2005,10,1820.01,2023-10-03 15:16:00
5,Furniture,2002,7,6309.07,2023-09-17 04:21:00
6,Clothing,3004,5,2282.13,2023-06-15 20:45:00
7,Furniture,2004,1,492.3,2023-12-21 03:41:00
8,Books,5004,3,2190.52,2023-01-22 22:37:00
9,Furniture,2005,7,3469.08,2023-09-04 08:18:00
10,Sports,4004,8,7012.54,2023-06-12 07:36:00
11,Furniture,2004,4,559.19,2023-12-01 18:34:00
12,Furniture,2004,8,3021.66,2023-06-17 17:24:00
13,Books,5001,5,918.96,2023-11-07 14:06:00
14,Electronics,1004,8,4105.6,2023-12-03 23:16:00
15,Books,5001,10,7394.55,2023-01-20 21:49:00
16,Clothing,3005,2,1984.43,2023-03-24 08:41:00
17,Clothing,3003,2,1471.24,2023-01-01 14:40:00
18,Sports,4002,4,1603.51,2023-10-09 04:48:00
19,Sports,4002,2,1677.11,2023-04-06 20:48:00
20,Furniture,2001,6,892.27,2023-10-25 05:11:00
21,Books,5004,6,207.78,2023-12-10 01:30:00
22,Clothing,3005,6,4680.43,2023-06-13 06:16:00
23,Sports,4001,6,438.39,2023-12-19 21:42:00
24,Books,5003,5,892.98,2023-09-21 12:14:00
25,Clothing,3001,10,6274.83,2023-06-20 02:10:00
26,Clothing,3003,9,3580.83,2023-10-22 23:29:00
27,Books,5005,1,179.94,2023-12-01 20:10:00
28,Sports,4002,10,7665.54,2023-09-19 08:11:00
29,Electronics,1002,10,1823.03,2023-05-14 22:43:00
30,Clothing,3003,6,3750.24,2023-03-18 08:49:00
31,Furniture,2003,6,1540.21,2023-10-30 20:06:00
32,Electronics,1005,2,1249.57,2023-10-20 11:01:00
33,Sports,4002,9,6155.6,2023-06-12 00:55:00
34,Furniture,2003,4,1911.51,2023-08-22 15:09:00
35,Books,5004,1,219.52,2023-09-12 03:27:00
36,Sports,4004,9,8163.25,2023-01-18 08:10:00
37,Books,5003,5,1167.69,2023-04-17 11:07:00
38,Furniture,2001,7,3991.37,2023-08-06 18:50:00
39,Sports,4004,2,1886.94,2023-07-03 19:33:00
40,Clothing,3002,7,2929.08,2023-10-05 22:55:00
41,Furniture,2004,4,2136.1,2023-09-19 10:39:00
42,Clothing,3002,7,1241.37,2023-07-02 12:30:00
43,Furniture,2001,9,2547.51,2023-08-28 16:40:00
44,Electronics,1004,3,642.98,2023-01-28 07:31:00
45,Electronics,1001,6,2956.04,2023-05-08 08:59:00
46,Furniture,2002,1,383.3,2023-05-29 10:52:00
47,Electronics,1005,2,548.07,2023-02-08 02:38:00
48,Sports,4005,1,914.11,2023-04-28 16:54:00
49,Books,5005,4,2248.86,2023-06-24 12:15:00
50,Furniture,2003,2,578.66,2023-08-09 12:38:00
51,Furniture,2002,3,1228.12,2023-08-06 17:52:00
52,Furniture,2005,6,1886.31,2023-10-26 10:47:00
53,Electronics,1004,5,1864.14,2023-09-11 19:14:00
54,Books,5001,8,6233.77,2023-05-13 16:27:00
55,Electronics,1005,4,576.39,2023-01-31 17:23:00
56,Sports,4002,6,2266.09,2023-08-09 14:47:00
57,Clothing,3004,6,2149.68,2023-12-19 06:49:00
58,Furniture,2004,3,2822.02,2023-12-02 23:50:00
59,Sports,4004,2,670.41,2023-03-07 07:38:00
60,Books,5004,9,2085.42,2023-06-28 08:21:00
61,Clothing,3004,3,2974.45,2023-05-19 17:12:00
62,Furniture,2002,5,212.71,2023-12-24 11:07:00
63,Furniture,2002,2,1839.22,2023-08-07 23:55:00
64,Clothing,3004,6,2770.87,2023-11-25 01:52:00
65,Electronics,1001,1,803.97,2023-08-23 18:41:00
66,Sports,4005,8,7938.18,2023-05-17 14:35:00
67,Electronics,1002,6,1279.36,2023-03-07 00:19:00
68,Clothing,3005,4,1343.51,2023-06-20 11:05:00
69,Furniture,2004,4,1086.14,2023-05-22 11:07:00
70,Furniture,2004,1,500.74,2023-01-24 14:36:00
